sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
309,1781200800,Double Bottom,long,63331.3,63473.5,62986.575000000004,64710.2,9,1,0.2245,True,40.6,True,tp,3.8,1.267,355
669,1781524800,Double Bottom,long,65940.7,66285.2,65573.1,67411.09999999999,9,3,0.5224,True,36.08,True,sl,-3.2,-1.067,221
923,1781753400,Bull Pennant,long,64701.1,64323.4,64113.052142857145,67053.29142857142,7,4,-0.5838,False,55.08,True,sl,-3.2,-1.067,48
1004,1781826300,Bull Pennant,long,62876.3,62956.6,62313.46982758621,65127.620689655174,6,1,0.1277,False,53.84,False,tp,3.8,1.267,343
1359,1782145800,Bear Pennant,short,64358.8,64581.9,64800.06764705883,62593.7294117647,7,20,-0.3467,False,42.69,True,tp,3.8,1.267,62
1470,1782245700,Ascending Triangle,long,62390.8,62480.3,61828.261275831086,64640.954896675656,6,1,0.1435,False,52.42,False,sl,-3.2,-1.067,76
1583,1782347400,Bull Flag,long,61077.9,60843.0,60097.50304878049,64999.487804878045,6,2,-0.3846,False,53.56,False,sl,-3.2,-1.067,52
1693,1782446400,Bull Pennant,long,59478.9,59913.1,58563.468243243246,63140.627027027025,7,1,0.73,False,43.9,True,sl,-3.2,-1.067,467
2185,1782889200,Double Bottom,long,58948.6,58681.8,58746.524999999994,59756.9,6,18,-0.4526,False,40.46,False,tp,3.8,1.267,60
2248,1782945900,Double Bottom,long,60519.2,60473.8,60155.625,61973.5,9,5,-0.075,True,29.23,True,tp,3.8,1.267,182
2467,1783143000,Descending Triangle,short,62583.5,62567.0,62885.70111111111,61374.695555555554,6,1,0.0264,False,55.75,False,sl,-3.2,-1.067,253
2782,1783426500,Double Bottom,long,63405.0,63710.0,63258.7,63990.200000000004,9,1,0.481,True,38.17,True,sl,-3.2,-1.067,83
2871,1783506600,Double Top,short,62832.4,62144.1,63111.15,61717.40000000001,9,9,1.0955,True,36.04,True,sl,-3.2,-1.067,160
3033,1783652400,Double Bottom,long,63387.0,63931.5,63211.7,64088.2,9,5,0.859,True,33.95,True,open,0.0686,0.023,145
