time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781193600,long,9.4947,tp,1.8,0.6,1,1.7415,True,True,0.86,True
1781197500,short,9.5558,tp,1.8,0.6,2,2.1668,True,True,1.59,False
1781199600,long,9.72,sl,-3.2,-1.067,5,2.1914,True,True,0.65,True
1781201400,short,9.4818,tp,1.8,0.6,1,2.0717,True,False,1.31,False
1781203800,long,9.6543,tp,1.8,0.6,4,1.859,True,True,1.3,True
1781207100,short,9.7679,sl,-3.2,-1.067,3,1.9399,True,True,1.08,False
1781208300,long,9.9405,tp,1.8,0.6,14,2.1004,True,True,0.98,True
1781214900,short,9.9856,sl,-3.2,-1.067,3,2.6007,True,True,2.83,False
1781216100,long,10.1676,tp,1.8,0.6,8,2.4752,True,True,1.11,True
1781219700,short,10.0218,tp,1.8,0.6,1,1.9119,True,True,0.67,False
1781220600,long,9.2861,sl,-3.2,-1.067,1,2.9587,True,False,2.81,True
1781221200,short,9.2609,tp,1.8,0.6,1,3.2558,False,False,1.12,True
1781222700,long,9.0502,sl,-3.2,-1.067,1,4.7836,False,False,2.34,False
1781223300,short,8.7078,sl,-3.2,-1.067,1,5.0476,False,False,1.2,True
1781228100,long,9.175,sl,-3.2,-1.067,1,3.3336,False,False,1.05,False
1781228700,short,8.8672,tp,1.8,0.6,1,3.4626,False,False,1.24,True
1781230200,long,8.9697,sl,-3.2,-1.067,1,3.0699,False,False,0.59,False
1781235000,short,8.7496,tp,1.8,0.6,10,2.3056,False,False,1.24,True
1781239800,long,8.0269,sl,-3.2,-1.067,4,3.0962,False,False,1.95,False
1781241600,short,7.7092,tp,1.8,0.6,1,3.0816,False,False,0.82,True
1781246700,long,8.156,tp,1.8,0.6,1,3.9381,False,True,2.88,False
1781248800,short,8.1809,sl,-3.2,-1.067,5,3.7697,False,True,0.64,True
1781252400,long,8.1749,tp,1.8,0.6,3,3.2222,False,True,0.89,False
1781257500,short,8.5672,sl,-3.2,-1.067,2,2.8674,False,True,1.53,True
1781266200,long,8.686,sl,-3.2,-1.067,3,2.2935,True,True,1.45,True
1781267400,short,8.4697,tp,1.8,0.6,4,2.1227,False,True,0.39,True
1781269500,long,8.5282,tp,1.8,0.6,12,1.9726,False,True,0.62,False
1781273100,long,8.6263,tp,1.8,0.6,1,1.6416,True,True,0.87,True
1781277000,short,9.5725,sl,-3.2,-1.067,1,2.5027,True,True,1.92,False
1781277900,long,9.9385,tp,1.8,0.6,2,2.5577,True,True,1.07,True
1781283600,short,10.9413,tp,1.8,0.6,2,2.9318,True,True,1.76,False
1781287800,long,9.6469,tp,1.8,0.6,1,5.324,True,False,1.83,True
1781289900,short,9.5928,tp,1.8,0.6,1,5.3539,True,False,0.84,False
1781301600,long,7.7229,sl,-3.2,-1.067,1,5.1665,False,False,1.31,False
1781301900,short,7.1006,sl,-3.2,-1.067,1,5.9944,False,False,1.58,True
