time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781199900,long,63331.3,tp,1.8,1.8,623,0.2937,True,True,2.82,True
1781411700,short,64463.5,sl,-1.2,-1.2,205,0.0446,True,False,0.48,False
1781512500,short,65725.8,sl,-1.2,-1.2,49,0.1156,True,False,1.1,False
1781551500,short,66563.6,tp,1.8,1.8,445,0.1946,True,False,3.36,False
1781703900,long,65277.1,sl,-1.2,-1.2,67,0.1759,False,True,2.19,False
1781724000,short,64778.2,tp,1.8,1.8,239,0.4602,False,False,0.94,True
1781814300,long,63103.3,sl,-1.2,-1.2,82,0.1873,False,True,0.19,False
1781838900,short,62737.4,sl,-1.2,-1.2,126,0.1196,False,False,1.11,True
1781897100,short,63004.7,sl,-1.2,-1.2,54,0.1259,True,False,0.56,False
1781944500,short,63486.1,sl,-1.2,-1.2,74,0.088,True,False,1.22,False
1781967900,long,64028.0,sl,-1.2,-1.2,389,0.1893,True,True,2.11,True
1782091200,long,64075.2,tp,1.8,1.8,148,0.2279,True,True,0.78,True
1782145500,short,64704.9,tp,1.8,1.8,156,0.1963,True,False,0.12,False
1782224700,long,62584.6,sl,-1.2,-1.2,275,0.2566,False,True,0.12,False
1782333000,long,60781.7,sl,-1.2,-1.2,206,0.3271,False,True,0.93,False
1782423300,long,59923.3,sl,-1.2,-1.2,46,0.2093,False,True,0.65,False
1782447000,long,59915.1,sl,-1.2,-1.2,81,0.4033,True,True,1.15,True
1782483600,long,59821.0,sl,-1.2,-1.2,672,0.4578,True,True,0.57,True
1782701400,long,59785.5,sl,-1.2,-1.2,135,0.3008,True,True,1.51,True
1782752100,long,59868.5,sl,-1.2,-1.2,188,0.2681,True,True,0.96,True
1782847200,long,58648.2,sl,-1.2,-1.2,70,0.1926,False,True,1.06,False
1782871200,long,58770.9,tp,1.8,1.8,146,0.3001,False,True,0.71,False
1782949800,short,60034.7,sl,-1.2,-1.2,43,0.2117,True,False,0.75,False
1782975300,short,60314.4,sl,-1.2,-1.2,32,0.1685,True,False,1.19,False
1783010700,short,61438.1,sl,-1.2,-1.2,221,0.2554,True,False,1.26,False
1783129500,short,62439.8,sl,-1.2,-1.2,161,0.1251,True,False,0.3,False
1783206900,short,62997.4,sl,-1.2,-1.2,277,0.1017,True,False,1.87,False
1783308000,short,63394.5,tp,1.8,1.8,104,0.1466,True,False,0.52,False
1783352700,long,62915.1,tp,1.8,1.8,64,0.3285,True,True,0.7,True
1783388100,short,63933.2,tp,1.8,1.8,300,0.1667,True,False,0.91,False
1783530600,long,62127.1,tp,1.8,1.8,299,0.1798,False,True,0.98,False
1783643100,short,63086.9,sl,-1.2,-1.2,16,0.1301,True,False,0.16,False
1783690500,short,64236.7,open,0.0217,0.022,314,0.1226,True,False,1.62,False
