sig_idx,time,pattern,direction,entry_claimed,entry_honest,stop_claimed,target,conf,bars_since_break,hindsight_gap_pct,htf_aligned,chop_idx,vol_spike,outcome,pl_pct,r,bars_held
316,1781207100,Bull Pennant,long,1.1530035734176636,1.1582117080688477,1.1508587801998311,1.1615827462889934,5,9,0.4517,False,21.39,False,sl,-0.0527,-1.22,4
380,1781264700,Bear Pennant,short,1.157273530960083,1.1574074029922483,1.1586355604231358,1.151825413107872,5,20,-0.0116,False,58.57,False,sl,-0.0527,-1.22,5
468,1781522100,Triple Bottom,long,1.16130530834198,1.161170482635498,1.1596426367759705,1.167955994606018,8,20,-0.0116,True,49.25,False,tp,0.0766,1.78,8
487,1781539200,Bear Flag,short,1.1606314182281494,1.1606314182281494,1.1621412612497806,1.1545920461416244,6,2,-0.0,False,40.89,False,tp,0.0767,1.78,11
506,1781556300,Triple Top,short,1.160092830657959,1.15968918800354,1.1613602250814439,1.1550232529640199,5,20,0.0348,False,35.3,False,sl,-0.0526,-1.22,0
508,1781558100,Bear Flag,short,1.1606314182281494,1.1590172052383425,1.1621186211705208,1.154682606458664,6,20,0.1391,False,45.32,False,sl,-0.0526,-1.22,0
510,1781559900,Triple Top,short,1.1603620052337646,1.159151554107666,1.1616665065288543,1.1551440000534057,5,20,0.1043,False,55.56,False,sl,-0.0526,-1.22,6
524,1781572500,Bull Pennant,long,1.15968918800354,1.1595547199249268,1.1588815967241923,1.162919553120931,5,1,-0.0116,False,53.86,False,sl,-0.0526,-1.22,1
549,1781595000,Bull Flag,long,1.159151554107666,1.1595547199249268,1.158049888908863,1.1635582149028774,5,1,0.0348,False,36.81,False,tp,0.0768,1.78,3
752,1781777700,Double Top,short,1.1479737758636477,1.147446870803833,1.1499853283166888,1.1399275660514832,8,1,0.0459,True,26.7,False,tp,0.0776,1.78,1
808,1781828100,Bull Pennant,long,1.1465259790420532,1.1465259790420532,1.1429604174660855,1.1607882253459243,6,1,0.0,False,51.05,False,sl,-0.0532,-1.22,5
1019,1782196200,Bull Pennant,long,1.1427265405654907,1.1424654722213743,1.141091334167868,1.149267366155982,6,1,-0.0228,False,59.04,False,tp,0.0779,1.78,1
1151,1782315000,Bull Pennant,long,1.1353315114974976,1.135589361190796,1.1325470451470259,1.146469376899384,6,1,0.0227,False,45.18,False,sl,-0.0537,-1.22,0
1224,1782380700,Bull Pennant,long,1.1370097398757937,1.1364928483963013,1.1366808176040653,1.1383254289627072,5,20,-0.0455,False,44.67,False,sl,-0.0537,-1.22,0
1338,1782483300,Ascending Triangle,long,1.1410315036773682,1.1420739889144895,1.1374687826460372,1.1552823878026917,8,6,0.0914,True,40.21,False,sl,-0.0534,-1.22,0
1475,1782784800,Bear Flag,short,1.1409013271331787,1.1407711505889893,1.1421387049746006,1.135951815767491,5,1,0.0114,False,33.36,False,tp,0.078,1.78,10
1520,1782825300,Bull Pennant,long,1.1401208639144895,1.1405109167099,1.1389409943324762,1.1448403422425433,5,2,0.0342,False,56.38,False,sl,-0.0535,-1.22,2
1571,1782871200,Bear Flag,short,1.1409013271331787,1.1410315036773682,1.1420892937616869,1.1361494606191462,5,1,-0.0114,False,28.87,False,tp,0.078,1.78,19
1660,1782951300,Bull Pennant,long,1.138044834136963,1.138044834136963,1.1363376148285405,1.1448737113706526,6,1,0.0,False,58.03,False,tp,0.0782,1.78,7
1759,1783040400,Ascending Triangle,long,1.1424654722213743,1.1440337896347046,1.1374157549756942,1.162664341204094,8,1,0.1373,True,43.68,False,tp,0.0778,1.78,15
1808,1783084500,Bear Flag,short,1.1449507474899292,1.144688606262207,1.1468168833154313,1.1374862041879208,6,1,0.0229,False,52.53,False,tp,0.0778,1.78,32
1987,1783423800,Bull Pennant,long,1.1436413526535034,1.1436413526535034,1.142399218933923,1.1486098875318256,7,1,0.0,True,44.92,False,sl,-0.0533,-1.22,0
2105,1783530000,Bull Pennant,long,1.141422152519226,1.1425960063934326,1.1405834794044494,1.1447768449783324,5,1,0.1028,False,34.71,False,sl,-0.0534,-1.22,13
2211,1783625400,Bear Flag,short,1.1435105800628662,1.142987847328186,1.1448439769930654,1.1381769923420693,5,1,0.0457,False,44.94,False,sl,-0.0534,-1.22,5
2263,1783672200,Bear Pennant,short,1.1440337896347046,1.1437721252441406,1.1449289719263713,1.1404530604680376,5,1,0.0229,False,49.23,False,tp,0.0778,1.78,16
2297,1783702800,Bull Flag,long,1.143118381500244,1.143118381500244,1.1419515360046075,1.14778576348279,5,7,0.0,False,39.69,False,sl,-0.0534,-1.22,0
