time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781228700,short,8.8672,flip,-9.778,,51,5.7989,True,False,0.83,False
1781274600,long,9.7165,flip,-15.6428,,26,4.0043,True,True,3.06,True
1781298000,short,8.216,flip,-4.9371,,39,7.8491,False,False,0.62,True
1781333100,long,8.6052,flip,-9.9395,,33,4.2446,True,True,1.01,True
1781362800,short,7.7671,flip,25.6024,,156,5.1587,False,False,0.8,True
1781503200,long,5.763,flip,-4.1597,,1,2.9016,False,True,0.88,False
1781504100,short,5.5348,flip,64.1257,,281,3.1631,False,False,1.14,True
1781757000,long,1.9745,flip,-15.2165,,5,4.5127,False,True,1.39,False
1781761500,short,1.678,flip,-9.7292,,42,5.5459,False,False,0.79,True
1781799300,long,1.8379,flip,-11.0657,,32,3.7384,False,True,1.02,False
1781828100,short,1.6382,flip,-8.9962,,14,3.1919,False,False,0.35,True
1781840700,long,1.7823,flip,-8.4309,,25,3.209,False,True,2.59,False
1781863200,short,1.6356,flip,-17.2946,,7,7.1995,False,False,0.98,True
1781869500,long,1.9152,flip,-5.4057,,33,5.6247,False,True,1.27,False
1781899200,short,1.8155,flip,-3.9345,,10,4.0323,False,False,1.46,True
1781908200,long,1.8833,flip,-3.6886,,4,3.3909,False,True,0.96,False
1781911800,short,1.8176,flip,-3.8917,,4,3.1972,False,False,0.46,True
1781915400,long,1.8847,flip,-3.4472,,36,3.1122,False,True,0.7,False
1781947800,short,1.8235,flip,-4.1539,,43,3.0977,False,False,0.66,True
1781986500,long,1.8956,flip,-6.2983,,7,2.2047,True,True,0.98,True
1781992800,short,1.78,flip,-1.7393,,67,2.191,False,False,0.49,True
1782053100,long,1.8074,flip,-3.4035,,51,2.2283,False,True,0.96,False
1782099000,short,1.7495,flip,-4.0697,,11,1.5676,False,False,0.78,True
1782108900,long,1.8172,flip,-5.2902,,22,1.4345,True,True,2.39,True
1782128700,short,1.7247,flip,0.374,,66,1.6638,False,False,1.54,True
1782188100,long,1.7148,flip,19.7732,,125,1.3694,False,True,1.27,False
1782300600,short,2.0573,flip,7.6258,,80,4.9273,True,False,0.65,False
1782372600,long,1.8963,flip,-8.706,,7,3.2088,True,True,1.11,True
1782378900,short,1.735,flip,-3.8023,,2,4.1011,False,False,0.59,True
1782380700,long,1.7975,flip,23.3939,,180,3.7691,False,True,0.42,False
1782542700,short,2.2216,flip,-13.7578,,25,3.1909,False,False,3.24,True
1782565200,long,2.5228,flip,-6.6413,,24,3.5616,True,True,0.57,True
1782586800,short,2.3603,flip,-7.3304,,15,3.3006,True,False,0.37,False
1782600300,long,2.5286,flip,-1.774,,53,2.528,True,True,1.47,True
1782648000,short,2.4888,flip,-6.4842,,41,3.3846,True,False,0.46,False
1782684900,long,2.6452,flip,-5.8517,,36,1.8991,True,True,0.75,True
1782717300,short,2.4957,flip,-8.4221,,9,2.3598,False,False,1.25,True
1782725400,long,2.7009,flip,-6.0869,,2,2.1924,True,True,0.99,True
1782727200,short,2.5419,flip,-5.3261,,7,2.5422,False,False,2.12,True
1782733500,long,2.6722,flip,1.0649,,110,2.2747,True,True,0.53,True
1782832500,short,2.706,flip,-4.2983,,17,1.601,True,False,4.2,False
1782847800,long,2.8169,flip,-4.7511,,53,1.5956,True,True,0.53,True
1782895500,short,2.6887,flip,-3.7407,,40,5.1494,False,False,0.9,True
1782931500,long,2.7839,flip,-7.0896,,35,3.2292,True,True,0.21,True
1782963000,short,2.5921,flip,-9.7367,,8,3.0376,False,False,2.01,True
1782970200,long,2.8393,flip,2.2443,,102,2.8868,True,True,0.79,True
1783062000,short,2.9087,flip,0.2229,,95,2.5852,False,False,2.99,True
1783147500,long,2.8964,flip,0.4698,,61,1.8784,True,True,2.78,True
1783202400,short,2.9158,flip,1.9606,,64,1.3746,True,False,0.57,False
1783260000,long,2.8528,flip,-4.1119,,10,1.2632,True,True,1.04,True
1783269000,short,2.7412,flip,-5.103,,23,1.5352,False,False,1.64,True
1783289700,long,2.8756,flip,-4.5504,,14,1.2469,True,True,1.1,True
1783302300,short,2.7505,flip,7.3259,,81,1.2417,False,False,0.68,True
1783375200,long,2.5435,flip,0.1578,,37,1.8244,False,True,0.55,False
1783408500,short,2.5526,flip,-2.6289,,1,1.7436,False,False,1.79,True
1783409400,long,2.6146,flip,-2.4986,,17,1.8184,False,True,2.92,False
1783424700,short,2.5545,flip,5.2962,,125,1.7012,False,False,0.61,True
1783537200,long,2.4141,flip,-6.8609,,26,2.273,False,True,3.39,False
1783560600,short,2.2533,flip,1.0382,,84,1.9146,False,False,0.9,True
1783636200,long,2.2254,flip,-2.4423,,37,1.1754,False,True,0.66,False
1783669500,short,2.1755,flip,-4.0658,,8,1.4595,False,False,0.86,True
1783676700,long,2.2596,open,11.9703,,119,1.4614,False,True,1.74,False
