time,direction,entry,outcome,pl_pct,r,bars_held,atr_pct,htf_trend_up,ema50_rising,rel_volume,with_htf_trend
1781248500,short,57.274,sl,-1.2,-1.2,3,0.7618,False,False,1.05,True
1781257500,long,59.216,tp,1.8,1.8,10,0.7873,True,True,1.09,True
1781310600,short,59.012,sl,-1.2,-1.2,7,0.8119,True,False,1.82,False
1781360100,long,59.663,sl,-1.2,-1.2,14,0.6275,True,True,1.19,True
1781424900,short,59.911,sl,-1.2,-1.2,5,0.5506,True,False,2.5,False
1781430300,long,60.491,sl,-1.2,-1.2,19,0.5487,True,True,0.83,True
1781456400,short,59.981,sl,-1.2,-1.2,8,0.6126,True,False,0.88,False
1781471700,long,60.635,tp,1.8,1.8,1,0.5438,True,True,0.9,True
1781684100,short,73.037,tp,1.8,1.8,11,0.8033,True,False,1.45,False
1781713800,long,76.405,sl,-1.2,-1.2,1,1.0503,True,True,0.73,True
1781729100,short,71.777,sl,-1.2,-1.2,1,1.4977,True,False,0.66,False
1781780400,long,72.214,sl,-1.2,-1.2,1,0.9554,True,True,0.96,True
1781783100,short,70.847,sl,-1.2,-1.2,2,1.0187,False,False,1.11,True
1781788500,long,71.986,sl,-1.2,-1.2,1,0.9378,True,True,0.7,True
1781790300,short,70.35,tp,1.8,1.8,5,1.0265,False,False,1.14,True
1781876700,long,68.931,sl,-1.2,-1.2,1,0.9485,False,True,1.09,False
1781924400,short,68.536,sl,-1.2,-1.2,2,0.6934,False,False,0.62,True
1781932500,long,70.255,sl,-1.2,-1.2,32,0.662,True,True,1.03,True
1781977500,short,69.449,sl,-1.2,-1.2,13,0.7496,False,False,0.95,True
1781995500,long,70.78,sl,-1.2,-1.2,15,0.4998,True,True,1.47,True
1782014400,short,69.763,tp,1.8,1.8,15,0.4585,False,False,1.21,True
1782126900,long,67.723,tp,1.8,1.8,8,0.5754,False,True,0.88,False
1782161100,short,67.263,tp,1.8,1.8,8,0.8334,False,False,0.29,True
1782303300,long,62.462,sl,-1.2,-1.2,2,0.7016,False,True,1.22,False
1782305100,short,62.085,tp,1.8,1.8,2,0.6842,False,False,1.36,True
1782336600,long,62.896,tp,1.8,1.8,7,0.9818,False,True,0.7,False
1782395100,short,61.44,tp,1.8,1.8,1,0.7974,False,False,2.56,True
1782416700,long,62.9,tp,1.8,1.8,1,1.2225,False,True,0.53,False
1782442800,short,61.657,sl,-1.2,-1.2,1,1.0596,False,False,0.9,True
1782448200,long,63.53,sl,-1.2,-1.2,1,1.0905,True,True,0.28,True
1782450000,short,62.788,sl,-1.2,-1.2,6,1.0749,False,False,0.88,True
1782458100,long,63.829,tp,1.8,1.8,3,0.9733,True,True,0.75,True
1782470700,short,62.194,sl,-1.2,-1.2,12,0.9364,False,False,0.62,True
1782486900,long,64.191,sl,-1.2,-1.2,23,1.0987,True,True,0.93,True
1782525600,short,63.472,sl,-1.2,-1.2,1,0.6538,False,False,0.48,True
1782527400,long,64.363,sl,-1.2,-1.2,14,0.7029,True,True,1.23,True
1782540900,short,63.348,sl,-1.2,-1.2,2,0.602,False,False,1.84,True
1782573300,long,64.642,sl,-1.2,-1.2,4,0.5661,True,True,2.64,True
1782585000,short,63.172,tp,1.8,1.8,15,0.5648,False,False,0.26,True
1782638100,long,62.945,sl,-1.2,-1.2,36,0.5294,False,True,2.43,False
1782671400,short,62.077,tp,1.8,1.8,13,0.5828,False,False,0.78,True
1782705600,long,62.707,sl,-1.2,-1.2,2,0.715,True,True,0.53,True
1782807300,short,65.268,sl,-1.2,-1.2,10,0.5549,True,False,1.97,False
1782877500,long,65.398,sl,-1.2,-1.2,11,0.7069,True,True,0.94,True
1782891900,short,64.244,tp,1.8,1.8,11,0.5934,False,False,0.84,True
1782926100,long,64.142,sl,-1.2,-1.2,9,0.7772,False,True,1.33,False
1782935100,short,63.331,tp,1.8,1.8,3,0.7475,False,False,2.02,True
1782984600,long,63.83,tp,1.8,1.8,9,0.5706,False,True,0.31,False
1783176300,short,70.715,tp,1.8,1.8,39,0.4215,True,False,0.55,False
1783260900,long,69.133,tp,1.8,1.8,25,0.3924,False,True,0.85,False
1783328400,short,70.306,tp,1.8,1.8,16,0.4967,True,False,0.63,False
1783358100,long,71.33,sl,-1.2,-1.2,26,0.6211,True,True,0.71,True
1783395900,short,70.259,sl,-1.2,-1.2,12,0.5238,False,False,0.71,True
1783415700,long,71.444,tp,1.8,1.8,24,0.5382,True,True,2.19,True
1783452600,short,69.915,tp,1.8,1.8,24,0.7732,False,False,1.18,True
1783576800,long,68.006,sl,-1.2,-1.2,19,0.4749,False,True,1.97,False
1783597500,short,67.324,sl,-1.2,-1.2,8,0.445,False,False,0.64,True
1783609200,long,68.08,sl,-1.2,-1.2,5,0.5345,False,True,0.91,False
1783616400,short,67.227,sl,-1.2,-1.2,4,0.5756,False,False,0.99,True
1783649700,long,68.152,sl,-1.2,-1.2,49,0.4123,True,True,1.67,True
1783696500,short,67.514,open,0.4976,0.498,97,0.5686,False,False,0.98,True
